メーリングリストアドレス,コメント,設定リンク
20th_event@icraft.jp,20周年記念イベント配信用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d007ff6/members
info-jpn@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d007ff8/members
kintai_help@icraft.jp,2021/04/08 勤怠管理窓口用メーリングリスト,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d007ffa/members
aws_tokyo@icraft.jp,東京AWS用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d007ffc/members
2021_new_recruit@icraft.jp,2021年入社メンバー,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d007ffe/members
ic-ai@icraft.jp,イラレ用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008000/members
istaff.tokyo@icraft.jp,iSTAFF 東京メンバーML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008002/members
acix@icraft.jp,ACiX推進Gr.,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008004/members
kouki-kourei_alert@icraft.jp,後期高齢アラート受信ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008006/members
jvisdev@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008008/members
gunpla@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00800a/members
ml_skillup@icraft.jp,技術向上委員会用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00800c/members
status_local@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00800e/members
test1105@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008010/members
com-son@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008011/members
jinji_sp@icraft.jp,人事院SitePatrolアラート受信用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008013/members
kobelcokaken_server@icraft.jp,コベルコ科研サーバグループ,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008015/members
i-staff@icraft.jp,istaffML?,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008017/members
software@icraft.jp,ソフトウェア２,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008019/members
gtbsubs@icraft.jp,,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00801b/members
focus-se-ml@icraft.jp,FOCUS業務における運用SEメンバーのML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00801d/members
itochyu_support@icraft.jp,伊藤忠都市開発様のシステム保守問合せ用ML,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d00801f/members
nishiri@icraft.jp,西利オフコン刷新チーム用,https://my.zenlogic.jp/configurations/68698/mail/mailing_lists/61096b77f55095747d008021/members
